2023-08-22 08:33:15.800 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(E:/VM shareable/T24-Training/forex/forex_converter/src/main/java/com/forex)
2023-08-22 08:33:28.042 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(E:/VM shareable/T24-Training/forex/forex_converter/src/main/java/com/forex)
2023-08-22 09:21:31.396 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(E:/VM shareable/T24-Training/forex/forex_converter/src/main/java/com/forex)
2023-08-22 09:22:57.482 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(E:/VM shareable/T24-Training/forex/forex_converter/src/main/java/com/forex)
2023-08-22 09:23:14.096 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(E:/VM shareable/T24-Training/forex/forex_converter/src/main/java/com/forex)
2023-08-22 09:23:35.035 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(E:/VM shareable/T24-Training/forex/forex_converter/src/main/java/main/java/com/forex)
2023-08-22 09:23:40.005 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(E:/VM shareable/T24-Training/forex/forex_converter/src/main/java/com/forex)
2023-08-18 21:01:11.175 [main] INFO  com.rs.mv.mvvs.Startup - [LSP:100101]ROCKET MV BASIC EXTENSION to start
2023-08-18 21:01:11.275 [main] INFO  com.rs.mv.mvvs.lsp.server.BasicLanguageServerLauncher - [LSP:100102]start pip server
2023-08-18 21:01:11.927 [main] INFO  com.rs.mv.mvvs.lsp.server.BasicLanguageServerLauncher - [LSP:100103]ROCKET MV BASIC EXTENSION start successful
2023-08-18 21:01:12.297 [pool-3-thread-1] INFO  com.rs.mv.mvvs.instance.workspace.WorkspaceManager - [workspace:200101]load all workspace folders start
2023-08-18 21:01:12.299 [pool-3-thread-1] INFO  com.rs.mv.mvvs.instance.workspace.WorkspaceManager - [workspace:20010201]root uri: file://marx/VM%20shareable/T24-Training
2023-08-18 21:01:12.302 [pool-3-thread-1] INFO  com.rs.mv.mvvs.instance.workspace.handler.FolderHandler - [workspace:200103]workspace contains workspace folder: file://marx/VM%20shareable/T24-Training
2023-08-18 21:01:12.356 [pool-3-thread-1] INFO  com.rs.mv.mvvs.instance.workspace.handler.FolderHandler - [workspace:200104]workspace folder will be cached: file://marx/VM%20shareable/T24-Training
2023-08-18 21:01:12.362 [pool-3-thread-1] INFO  com.rs.mv.mvvs.rmv.config.Config - [framework:30010101]config load start
2023-08-18 21:01:12.364 [pool-3-thread-1] INFO  com.rs.mv.mvvs.rmv.config.Config - [framework:30010102]project config path is : //marx/VM shareable/T24-Training/.rmv/config
2023-08-18 21:01:12.366 [pool-3-thread-1] INFO  com.rs.mv.mvvs.rmv.config.Config - [framework:30010103]resource config path is : /
